player_name,ppg,rpg,apg,total_games
Kevin Durant,25.9,7.1,5.4,208
Stephen Curry,24.2,4.6,6.5,762
Latrell Sprewell,23.8,4.5,6.1,94
Antawn Jamison,20.2,7.4,1.8,336
Andrew Wiggins,20.0,5.0,3.0,125
Baron Davis,20.0,4.4,8.1,245
Jamal Crawford,19.7,3.0,4.4,65
Klay Thompson,19.5,3.5,2.3,615
Monta Ellis,19.3,3.7,4.2,376
Corey Maggette,19.3,5.4,2.2,121
Joe Smith,18.7,8.5,1.6,80
Stephen Jackson,18.6,4.1,4.7,207
Jason Richardson,18.3,5.4,3.2,438
David Lee,16.7,9.3,2.7,327
DeMarcus Cousins,16.3,8.2,3.6,30
Jim Jackson,15.7,5.1,4.8,79
Gilbert Arenas,15.6,4.0,5.4,129
Kelly Oubre Jr.,15.4,6.0,1.3,55
Al Harrington,15.0,5.9,1.7,159
Larry Hughes,14.4,4.3,3.6,205
John Starks,13.8,3.3,4.7,50
Dorell Wright,13.8,5.0,2.4,143
Marc Jackson,13.2,7.5,1.2,48
Jarrett Jack,12.9,3.1,5.6,79
Chris Mullin,12.7,3.6,3.5,99
Nick Van Exel,12.6,2.7,5.3,39
Derek Fisher,12.6,2.7,4.2,156
Eric Paschall,12.2,4.0,1.8,100
Donyell Marshall,12.2,7.7,1.8,246
Raja Bell,11.8,3.8,2.2,6
Clifford Robinson,11.8,3.9,3.3,82
Anthony Tolliver,11.7,7.0,1.9,46
Anthony Morrow,11.6,3.4,1.4,136
James Wiseman,11.5,5.8,0.7,39
Troy Murphy,11.4,8.4,1.2,333
Mark Price,11.3,2.6,4.9,70
Nate Robinson,11.2,2.0,4.5,51
Jordan Crawford,11.0,2.3,3.5,81
Carl Landry,10.8,6.0,0.8,81
Kelenna Azubuike,10.6,4.0,1.1,205
Reggie Williams,10.6,3.1,1.8,104
Speedy Claxton,10.6,2.6,4.5,60
Mike Dunleavy,10.5,4.7,2.4,317
Jordan Poole,10.3,2.0,2.2,108
Danny Fortson,10.2,10.7,1.4,100
Harrison Barnes,10.1,4.6,1.5,307
Brian Cardinal,9.6,4.2,1.4,76
Mookie Blaylock,9.6,3.3,6.0,177
Erick Dampier,9.5,7.7,1.0,425
Bob Sura,9.5,3.5,3.7,186
Jason Caffey,9.4,5.6,1.1,186
Clar. Weatherspoon,9.3,7.5,1.1,79
Chris Mills,9.3,4.1,1.6,169
Marquese Chriss,9.2,6.2,1.9,61
Anthony Randolph,9.2,6.0,1.0,96
Tony Delk,9.0,2.0,2.3,113
Terry Cummings,8.9,5.0,1.1,72
Draymond Green,8.8,6.9,5.4,639
Earl Boykins,8.8,1.3,3.3,68
C.J. Watson,8.7,2.3,2.4,174
Mickael Pietrus,8.6,3.3,0.8,310
Chris Porter,8.6,3.7,1.2,51
Vonteego Cummings,8.4,2.3,3.3,141
Jeremy Pargo,8.3,1.0,2.7,3
Damion Lee,8.3,3.5,1.6,138
Marreese Speights,8.0,3.8,0.7,227
Jermaine O'Neal,7.9,5.5,0.6,44
Matt Barnes,7.9,4.7,2.2,223
B.J. Armstrong,7.9,1.5,2.6,49
Bimbo Coles,7.8,2.3,4.1,152
Quinn Cook,7.7,2.2,1.9,107
Ky Bowman,7.4,2.7,2.9,45
Al Thornton,7.4,3.0,0.9,71
Nick Young,7.3,1.6,0.5,80
Andre Iguodala,7.2,3.9,3.4,413
Ike Diogu,7.0,3.3,0.4,69
Steve Blake,6.9,2.9,5.6,55
Leandro Barbosa,6.7,1.6,1.3,134
